ユリナ,ユリナ（O）,random_yurina.png
ユリナ,ユリナ（A1）,random_yurina_a1.png
ユリナ,ユリナ（A2）,random_yurina_effect_a2.png
サイネ,サイネ（O）,random_saine.png
サイネ,サイネ（A1）,random_saine_a1.png
サイネ,サイネ（A2）,random_saine_a2.png
ヒミカ,ヒミカ（O）,random_himika.png
ヒミカ,ヒミカ（A）,random_himika_a1.png
トコヨ,トコヨ（O）,random_tokoyo.png
トコヨ,トコヨ（A1）,random_tokoyo_a1.png
トコヨ,トコヨ（A2）,random_tokoyo_a2.png
オボロ,オボロ（O）,random_oboro.png
オボロ,オボロ（A1）,random_oboro_a1.png
オボロ,オボロ（A2）,random_oboro_a2.png
ユキヒ,ユキヒ（O）,random_yukihi_a.png
ユキヒ,ユキヒ（A）,random_yukihi_a1.png
シンラ,シンラ（O）,random_shinra.png
シンラ,シンラ（A）,random_shinra_a1.png
ハガネ,ハガネ（O）,random_hagane.png
ハガネ,ハガネ（A）,random_hagane_a1.png
チカゲ,チカゲ（O）,random_chikage.png
チカゲ,チカゲ（A）,random_chikage_a1.png
クルル,クルル（O）,random_kururu.png
クルル,クルル（A1）,random_kururu_a1.png
クルル,クルル（A2）,random_kururu_a2.png
サリヤ,サリヤ（O）,random_thallya.png
サリヤ,サリヤ（A）,random_thallya_a1.png
ライラ,ライラ（O）,random_raira.png
ライラ,ライラ（A）,random_raira_a1.png
コルヌ,コルヌ,random_korunu.png
コルヌ,コルヌ（A）,tarot_15_korunu_a1.png
メグミ,メグミ,random_megumi.png
メグミ,メグミ（A）,tarot_19_megumi_a1.png
